match_id,GoalScorer,OG,Team,Assist,AssistType,Penalty
2018131,Mohamed Mosaad,,Away,James Owoboskini,Unknown,
2018131,Moussa Diawara,,Away,Ahmed Shedid Kenawi,Unknown,
2018131,Tarek Taha,,Home,,Unknown,1.0
2018132,Ahmed Ayman Mansour,,Away,,Unknown,
2018132,Ibrahima Ndiaye,,Home,Ahmed Safi,Unknown,
2018133,Ahmed Ouka,,Away,Mohamed Gamal Treka,Unknown,
2018133,Kahraba,,Home,Youssef Obama,Unknown,
2018133,Kahraba,,Home,Mahmoud Alaa,Unknown,
2018134,Ali Maâloul,,Away,Ahmed Sobhi,Handball ,1.0
2018135,Odah Marshal,,Away,Mohamed Ashraf Roqa,Unknown,
2018135,John Antwi,,Home,Eric Traoré,Pass,
2018135,Mohamed Dabash,,Home,Mahmoud Wahid,Corner,
2018135,Odah Marshal,,Away,Mohamed Bassiouny,Cross,
2018135,John Antwi,,Home,Paulin Voavy,Cross,
2018135,Hamdy Fathy,,Away,Amr El Halwani,Cross,
2018135,John Antwi,,Home,Eric Traoré,Penalty,1.0
2018136,Khaled Kamar,,Home,,Unknown,
2018136,Mostafa Mohamed,,Away,Momen Ibrahim,Cross,
2018138,Moses Odo,,Home,Hamada Nasr,Pass,
2018138,Ibrahim Abdel-Khalik,,Home,Moses Odo,Cross,
2018138,Karim Mamdouh,,Away,Mohamed Abdelaati,Pass,
2018138,Emam Ashour,,Home,Abdallah Gomaa Awad,Cross,
2018138,Mostafa Gamal,,Home,Ahmed Ramadan,Handball ,1.0
2018139,Mahmoud Salah,,Home,Shemeles Bekele,Unknown,
2018140,Ferjani Sassi,,Home,Abdallah Gomaa,Cross,
2018140,Omar El Said,,Home,Kahraba,Pass,
2018140,Kahraba,,Home,Ibrahim Hassan,Pass,
2018141,Ahmed Ali,,Away,Mohamed Samir,Free kick,
2018142,Nabil Dunga,,Away,,Unknown,
2018142,Carlos Eduardo,,Away,Keno,Pass,
2018144,Mohamed Samir,,Home,,Unknown,
2018144,Mohamed Talaat,,Home,Taher Mohamed,Pass,
