match_id,Gameweek,Date,Time,Result,Home team,Away team,Day,HomeGoals,AwayGoals,Status,Season
2019163,19,2020-08-10,6:30 PM,3:0,Pyramids FC,Tanta SC,Mon,3,0,HomeWin,2019-2020
2019164,19,2020-08-13,4:00 PM,1:1,Aswan SC,FC Masr,Thu,1,1,Tie,2019-2020
2019165,19,2020-08-13,6:30 PM,1:1,Smouha,El Mokawloon,Thu,1,1,Tie,2019-2020
2019166,19,2020-08-14,4:00 PM,1:1,El Gouna,Ittihad Alex,Fri,1,1,Tie,2019-2020
2019167,19,2020-08-14,6:30 PM,1:0,Wadi Degla,Harras Hodoud,Fri,1,0,HomeWin,2019-2020
2019168,19,2020-08-14,9:00 PM,1:1,Entag El Harby,Ahly SC,Fri,1,1,Tie,2019-2020
2019169,19,2020-08-15,8:00 PM,1:0,Zamalek,El Makasa,Sat,1,0,HomeWin,2019-2020
2019170,19,2020-10-09,3:00 PM,2:0,El Masry,Ismaily,Fri,2,0,HomeWin,2019-2020
2019171,20,2020-08-16,8:00 PM,2:2,Pyramids FC,Talaea El Gaish,Sun,2,2,Tie,2019-2020
2019172,20,2020-08-17,4:00 PM,0:0,Enppi SC,Smouha,Mon,0,0,Tie,2019-2020
2019173,20,2020-08-17,6:30 PM,2:1,El Mokawloon,Entag El Harby,Mon,2,1,HomeWin,2019-2020
2019174,20,2020-08-17,9:00 PM,3:0,Ahly SC,Aswan SC,Mon,3,0,HomeWin,2019-2020
2019175,20,2020-08-18,4:00 PM,0:1,Tanta SC,Harras Hodoud,Tue,0,1,AwayWin,2019-2020
2019176,20,2020-08-18,6:30 PM,1:0,El Makasa,El Gouna,Tue,1,0,HomeWin,2019-2020
2019177,20,2020-08-18,9:00 PM,0:0,FC Masr,Zamalek,Tue,0,0,Tie,2019-2020
2019178,20,2020-08-19,8:00 PM,1:1,Ismaily,Wadi Degla,Wed,1,1,Tie,2019-2020
2019179,20,2020-10-12,3:00 PM,1:2,Ittihad Alex,El Masry,Mon,1,2,AwayWin,2019-2020
2019180,21,2020-08-21,4:00 PM,0:2,Entag El Harby,Enppi SC,Fri,0,2,AwayWin,2019-2020
2019181,21,2020-08-21,6:30 PM,1:0,Aswan SC,El Mokawloon,Fri,1,0,HomeWin,2019-2020
2019182,21,2020-08-21,9:00 PM,1:2,Smouha,Pyramids FC,Fri,1,2,AwayWin,2019-2020
2019183,21,2020-08-22,4:00 PM,1:0,Talaea El Gaish,Tanta SC,Sat,1,0,HomeWin,2019-2020
2019184,21,2020-08-22,,0:1,El Gouna,FC Masr,Sat,0,1,AwayWin,2019-2020
2019185,21,2020-08-22,6:30 PM,0:2,El Masry,El Makasa,Sat,0,2,AwayWin,2019-2020
2019186,21,2020-08-22,9:00 PM,3:1,Zamalek,Ahly SC,Sat,3,1,HomeWin,2019-2020
2019187,21,2020-08-23,5:00 PM,2:2,Harras Hodoud,Ismaily,Sun,2,2,Tie,2019-2020
2019188,21,2020-08-23,9:00 PM,0:0,Wadi Degla,Ittihad Alex,Sun,0,0,Tie,2019-2020
2019189,22,2020-08-25,5:00 PM,1:1,Enppi SC,Aswan SC,Tue,1,1,Tie,2019-2020
2019190,22,2020-08-25,8:00 PM,3:0,Pyramids FC,Entag El Harby,Tue,3,0,HomeWin,2019-2020
2019191,22,2020-08-26,4:00 PM,1:1,Talaea El Gaish,Smouha,Wed,1,1,Tie,2019-2020
2019192,22,2020-08-26,6:30 PM,0:0,FC Masr,El Masry,Wed,0,0,Tie,2019-2020
2019193,22,2020-08-26,9:00 PM,1:0,Ahly SC,El Gouna,Wed,1,0,HomeWin,2019-2020
2019194,22,2020-08-27,4:00 PM,1:1,Ittihad Alex,Harras Hodoud,Thu,1,1,Tie,2019-2020
2019195,22,2020-08-27,6:30 PM,1:3,El Makasa,Wadi Degla,Thu,1,3,AwayWin,2019-2020
2019196,22,2020-08-27,9:00 PM,1:3,Tanta SC,Ismaily,Thu,1,3,AwayWin,2019-2020
2019197,22,2020-08-27,,2:1,El Mokawloon,Zamalek,Thu,2,1,HomeWin,2019-2020
2019198,23,2020-08-29,3:30 PM,0:1,Entag El Harby,Talaea El Gaish,Sat,0,1,AwayWin,2019-2020
2019199,23,2020-08-29,6:00 PM,1:2,Aswan SC,Pyramids FC,Sat,1,2,AwayWin,2019-2020
2019200,23,2020-08-29,8:30 PM,0:2,El Masry,Ahly SC,Sat,0,2,AwayWin,2019-2020
2019201,23,2020-08-30,3:30 PM,2:1,Wadi Degla,FC Masr,Sun,2,1,HomeWin,2019-2020
2019202,23,2020-08-30,6:00 PM,3:0,Smouha,Tanta SC,Sun,3,0,HomeWin,2019-2020
2019203,23,2020-08-30,,2:0,El Gouna,El Mokawloon,Sun,2,0,HomeWin,2019-2020
2019204,23,2020-08-30,8:30 PM,1:0,Zamalek,Enppi SC,Sun,1,0,HomeWin,2019-2020
2019205,23,2020-08-31,5:00 PM,1:1,Harras Hodoud,El Makasa,Mon,1,1,Tie,2019-2020
2019206,23,2020-08-31,8:00 PM,1:3,Ismaily,Ittihad Alex,Mon,1,3,AwayWin,2019-2020
2019207,24,2020-09-02,3:30 PM,0:0,Talaea El Gaish,Aswan SC,Wed,0,0,Tie,2019-2020
2019208,24,2020-09-02,6:00 PM,0:0,Enppi SC,El Gouna,Wed,0,0,Tie,2019-2020
2019209,24,2020-09-02,8:30 PM,1:2,Smouha,Entag El Harby,Wed,1,2,AwayWin,2019-2020
2019210,24,2020-09-03,3:30 PM,1:1,Tanta SC,Ittihad Alex,Thu,1,1,Tie,2019-2020
2019211,24,2020-09-03,6:00 PM,1:1,FC Masr,Harras Hodoud,Thu,1,1,Tie,2019-2020
2019212,24,2020-09-03,8:30 PM,2:0,El Mokawloon,El Masry,Thu,2,0,HomeWin,2019-2020
2019213,24,2020-09-03,,0:2,Pyramids FC,Zamalek,Thu,0,2,AwayWin,2019-2020
2019214,24,2020-09-04,5:00 PM,4:1,El Makasa,Ismaily,Fri,4,1,HomeWin,2019-2020
2019215,24,2020-09-04,8:00 PM,2:0,Ahly SC,Wadi Degla,Fri,2,0,HomeWin,2019-2020
2019216,25,2020-09-05,6:00 PM,3:3,Aswan SC,Smouha,Sat,3,3,Tie,2019-2020
2019217,25,2020-09-06,3:30 PM,3:0,Entag El Harby,Tanta SC,Sun,3,0,HomeWin,2019-2020
2019218,25,2020-09-06,6:00 PM,2:1,El Gouna,Pyramids FC,Sun,2,1,HomeWin,2019-2020
2019219,25,2020-09-06,,1:1,El Masry,Enppi SC,Sun,1,1,Tie,2019-2020
2019220,25,2020-09-06,8:30 PM,1:0,Zamalek,Talaea El Gaish,Sun,1,0,HomeWin,2019-2020
2019221,25,2020-09-07,3:30 PM,1:3,Ittihad Alex,El Makasa,Mon,1,3,AwayWin,2019-2020
2019222,25,2020-09-07,6:00 PM,1:1,Wadi Degla,El Mokawloon,Mon,1,1,Tie,2019-2020
2019223,25,2020-09-07,,4:0,Ismaily,FC Masr,Mon,4,0,HomeWin,2019-2020
2019224,25,2020-09-07,8:30 PM,0:2,Harras Hodoud,Ahly SC,Mon,0,2,AwayWin,2019-2020
2019225,26,2020-09-10,3:30 PM,0:1,Pyramids FC,El Masry,Thu,0,1,AwayWin,2019-2020
2019226,26,2020-09-10,6:00 PM,0:2,Entag El Harby,Aswan SC,Thu,0,2,AwayWin,2019-2020
2019227,26,2020-09-10,,3:2,El Mokawloon,Harras Hodoud,Thu,3,2,HomeWin,2019-2020
2019228,26,2020-09-10,8:30 PM,3:3,Smouha,Zamalek,Thu,3,3,Tie,2019-2020
2019229,26,2020-09-11,3:30 PM,2:2,FC Masr,Ittihad Alex,Fri,2,2,Tie,2019-2020
2019230,26,2020-09-11,6:00 PM,0:2,Tanta SC,El Makasa,Fri,0,2,AwayWin,2019-2020
2019231,26,2020-09-11,,4:1,Talaea El Gaish,El Gouna,Fri,4,1,HomeWin,2019-2020
2019232,26,2020-09-11,8:30 PM,3:0,Ahly SC,Ismaily,Fri,3,0,HomeWin,2019-2020
2019233,26,2020-09-12,6:00 PM,2:1,Enppi SC,Wadi Degla,Sat,2,1,HomeWin,2019-2020
2019234,27,2020-09-13,8:00 PM,1:0,Zamalek,Entag El Harby,Sun,1,0,HomeWin,2019-2020
2019235,27,2020-09-14,6:00 PM,4:0,Aswan SC,Tanta SC,Mon,4,0,HomeWin,2019-2020
2019236,27,2020-09-14,8:30 PM,0:0,Ittihad Alex,Ahly SC,Mon,0,0,Tie,2019-2020
2019237,27,2020-09-15,6:00 PM,3:0,El Makasa,FC Masr,Tue,3,0,HomeWin,2019-2020
2019238,27,2020-09-15,8:30 PM,1:1,Ismaily,El Mokawloon,Tue,1,1,Tie,2019-2020
2019239,27,2020-09-16,6:00 PM,1:2,El Gouna,Smouha,Wed,1,2,AwayWin,2019-2020
2019240,27,2020-09-16,8:30 PM,0:2,Wadi Degla,Pyramids FC,Wed,0,2,AwayWin,2019-2020
2019241,27,2020-09-17,6:00 PM,0:0,El Masry,Talaea El Gaish,Thu,0,0,Tie,2019-2020
